Rep,Party,State,Vote
De La Cruz,R,TX,Yea
Dean (PA),D,PA,Yea
DeGette,D,CO,Yea
DeLauro,D,CT,Yea
DelBene,D,WA,Yea
Deluzio,D,PA,Yea
DeSaulnier,D,CA,Yea
DesJarlais,R,TN,Nay
Diaz-Balart,R,FL,Yea
Dingell,D,MI,Yea
Doggett,D,TX,Yea
Donalds,R,FL,Yea
Duarte,R,CA,Yea
Duncan,R,SC,Yea
Dunn (FL),R,FL,Yea
Edwards,R,NC,Yea
Ellzey,R,TX,Yea
Emmer,R,MN,Yea
Escobar,D,TX,Yea
Eshoo,D,CA,Yea
Espaillat,D,NY,Yea
Estes,R,KS,Yea
Evans,D,PA,Not Voting
Ezell,R,MS,Yea
Fallon,R,TX,Not Voting
Feenstra,R,IA,Yea
Ferguson,R,GA,Not Voting
Finstad,R,MN,Yea
Fischbach,R,MN,Yea
Fitzgerald,R,WI,Yea
Fitzpatrick,R,PA,Yea
Fleischmann,R,TN,Yea
Fletcher,D,TX,Not Voting
Flood,R,NE,Yea
Fong,R,CA,Yea
Foster,D,IL,Yea
Foushee,D,NC,Yea
Foxx,R,NC,Yea
"Frankel, Lois",D,FL,Yea
"Franklin, Scott",R,FL,Yea
Frost,D,FL,Yea
Fry,R,SC,Yea
Fulcher,R,ID,Nay
Gallego,D,AZ,Yea
Garamendi,D,CA,Not Voting
Garbarino,R,NY,Yea
García (IL),D,IL,Yea
Garcia (TX),D,TX,Yea
"Garcia, Mike",R,CA,Not Voting
"Garcia, Robert",D,CA,Yea
Gimenez,R,FL,Yea
Golden (ME),D,ME,Yea
Goldman (NY),D,NY,Yea
Gomez,D,CA,Yea
"Gonzales, Tony",R,TX,Nay
"Gonzalez, V.",D,TX,Yea
Good (VA),R,VA,Nay
Gooden (TX),R,TX,Nay
Gosar,R,AZ,Yea
Gottheimer,D,NJ,Yea
Granger,R,TX,Not Voting
Graves (LA),R,LA,Yea
Graves (MO),R,MO,Yea
Green (TN),R,TN,Yea
"Green, Al (TX)",D,TX,Yea
Greene (GA),R,GA,Not Voting
Griffith,R,VA,Yea
Grijalva,D,AZ,Not Voting
Grothman,R,WI,Nay
Guest,R,MS,Yea
Guthrie,R,KY,Yea
Hageman,R,WY,Yea
Harder (CA),D,CA,Yea
Harris,R,MD,Nay
Harshbarger,R,TN,Nay
Hayes,D,CT,Yea
Hern,R,OK,Yea
Higgins (LA),R,LA,Yea
Hill,R,AR,Yea
Himes,D,CT,Yea
Hinson,R,IA,Yea
Horsford,D,NV,Yea
Houchin,R,IN,Yea
Houlahan,D,PA,Yea
Hoyer,D,MD,Yea
Hoyle (OR),D,OR,Yea
Hudson,R,NC,Yea
Huffman,D,CA,Yea
Huizenga,R,MI,Yea
Hunt,R,TX,Nay
Issa,R,CA,Yea
Ivey,D,MD,Yea
Jackson (IL),D,IL,Yea
Jackson (NC),D,NC,Yea
Jackson (TX),R,TX,Yea
Jacobs,D,CA,Yea
James,R,MI,Yea
Jayapal,D,WA,Yea
Jeffries,D,NY,Yea
Johnson (GA),D,GA,Yea
Johnson (LA),R,LA,Yea
Johnson (SD),R,SD,Yea
Jordan,R,OH,Yea
Joyce (OH),R,OH,Yea
Joyce (PA),R,PA,Yea
Kamlager-Dove,D,CA,Yea
Kaptur,D,OH,Yea
Kean (NJ),R,NJ,Yea
Keating,D,MA,Yea
Kelly (IL),D,IL,Yea
Kelly (MS),R,MS,Yea
Kelly (PA),R,PA,Yea
Kennedy,D,NY,Yea
Khanna,D,CA,Yea
Kiggans (VA),R,VA,Yea
Kildee,D,MI,Yea
Kiley,R,CA,Yea
Kilmer,D,WA,Yea
Kim (CA),R,CA,Yea
Krishnamoorthi,D,IL,Yea
Kuster,D,NH,Yea
Kustoff,R,TN,Yea
LaHood,R,IL,Yea
LaLota,R,NY,Yea
LaMalfa,R,CA,Yea
Lamborn,R,CO,Not Voting
Landsman,D,OH,Yea
Langworthy,R,NY,Yea
Larsen (WA),D,WA,Yea
Larson (CT),D,CT,Yea
Latta,R,OH,Yea
LaTurner,R,KS,Yea
Lawler,R,NY,Yea
Lee (CA),D,CA,Yea
Lee (FL),R,FL,Yea
Lee (NV),D,NV,Yea
Lee (PA),D,PA,Yea
Lee Carter,D,TX,Yea
Leger Fernandez,D,NM,Yea
Lesko,R,AZ,Nay
Letlow,R,LA,Yea
Levin,D,CA,Yea
Lieu,D,CA,Not Voting
Lofgren,D,CA,Yea
Lopez,R,CO,Nay
Loudermilk,R,GA,Yea
Lucas,R,OK,Yea
Luetkemeyer,R,MO,Not Voting
Luna,R,FL,Yea
Luttrell,R,TX,Yea
Lynch,D,MA,Yea
Mace,R,SC,Nay
Magaziner,D,RI,Yea
Malliotakis,R,NY,Yea
Maloy,R,UT,Yea
Mann,R,KS,Yea
Manning,D,NC,Yea
Massie,R,KY,Nay
Mast,R,FL,Yea
Matsui,D,CA,Yea
McBath,D,GA,Yea
McCaul,R,TX,Yea
McClain,R,MI,Yea
McClellan,D,VA,Yea
McClintock,R,CA,Yea
McCollum,D,MN,Yea
McCormick,R,GA,Nay
McGarvey,D,KY,Yea
McGovern,D,MA,Yea
McHenry,R,NC,Yea
McIver,D,NJ,Yea
Meeks,D,NY,Yea
Menendez,D,NJ,Yea
Meng,D,NY,Yea
Meuser,R,PA,Yea
Mfume,D,MD,Yea
Miller (IL),R,IL,Yea
Miller (OH),R,OH,Yea
Miller (WV),R,WV,Yea
Miller-Meeks,R,IA,Yea
Mills,R,FL,Nay
Molinaro,R,NY,Yea
Moolenaar,R,MI,Yea
Mooney,R,WV,Nay
Moore (AL),R,AL,Yea
Moore (UT),R,UT,Yea
Moore (WI),D,WI,Yea
Moran,R,TX,Yea
Morelle,D,NY,Yea
Moskowitz,D,FL,Yea
Moulton,D,MA,Not Voting
Mrvan,D,IN,Yea
Mullin,D,CA,Yea
Murphy,R,NC,Yea
Nadler,D,NY,Yea
Napolitano,D,CA,Not Voting
Neal,D,MA,Yea
Neguse,D,CO,Yea
Nehls,R,TX,Yea
Newhouse,R,WA,Not Voting
Nickel,D,NC,Yea
Norcross,D,NJ,Yea
Norman,R,SC,Yea
Nunn (IA),R,IA,Yea
Obernolte,R,CA,Yea
Ocasio-Cortez,D,NY,Yea
Ogles,R,TN,Nay
Omar,D,MN,Yea
Owens,R,UT,Yea
Pallone,D,NJ,Yea
Palmer,R,AL,Yea
Panetta,D,CA,Yea
Pappas,D,NH,Yea
Pelosi,D,CA,Not Voting
Peltola,D,AK,Yea
Pence,R,IN,Yea
Perez,D,WA,Yea
Perry,R,PA,Nay
Peters,D,CA,Yea
Pettersen,D,CO,Yea
Pfluger,R,TX,Yea
Phillips,D,MN,Not Voting
Pingree,D,ME,Yea
Pocan,D,WI,Yea
Porter,D,CA,Yea
Posey,R,FL,Yea
Pressley,D,MA,Yea
Quigley,D,IL,Yea
Ramirez,D,IL,Yea
Raskin,D,MD,Yea
Reschenthaler,R,PA,Yea
Rodgers (WA),R,WA,Not Voting
Rogers (AL),R,AL,Yea
Rogers (KY),R,KY,Yea
Rose,R,TN,Yea
Rosendale,R,MT,Nay
Ross,D,NC,Yea
Rouzer,R,NC,Yea
Roy,R,TX,Nay
Ruiz,D,CA,Yea
Rulli,R,OH,Yea
Ruppersberger,D,MD,Yea
Rutherford,R,FL,Yea
Ryan,D,NY,Yea
Salazar,R,FL,Yea
Salinas,D,OR,Yea
Sánchez,D,CA,Yea
Sarbanes,D,MD,Yea
Scalise,R,LA,Yea
Scanlon,D,PA,Yea
Schakowsky,D,IL,Yea
Schneider,D,IL,Yea
Scholten,D,MI,Yea
Schrier,D,WA,Yea
Schweikert,R,AZ,Yea
Scott (VA),D,VA,Yea
"Scott, Austin",R,GA,Yea
"Scott, David",D,GA,Yea
Self,R,TX,Nay
Sessions,R,TX,Yea
Sewell,D,AL,Yea
Sherman,D,CA,Yea
Sherrill,D,NJ,Yea
Simpson,R,ID,Yea
Slotkin,D,MI,Yea
Smith (MO),R,MO,Yea
Smith (NE),R,NE,Yea
Smith (NJ),R,NJ,Yea
Smith (WA),D,WA,Yea
Smucker,R,PA,Yea
Sorensen,D,IL,Yea
Soto,D,FL,Yea
Spanberger,D,VA,Yea
Spartz,R,IN,Yea
Stansbury,D,NM,Yea
Stanton,D,AZ,Yea
Stauber,R,MN,Yea
Steel,R,CA,Yea
Stefanik,R,NY,Yea
Steil,R,WI,Yea
Steube,R,FL,Not Voting
Stevens,D,MI,Yea
Strickland,D,WA,Yea
Strong,R,AL,Yea
Suozzi,D,NY,Not Voting
Swalwell,D,CA,Yea
Sykes,D,OH,Yea
Takano,D,CA,Yea
Tenney,R,NY,Yea
Thanedar,D,MI,Yea
Thompson (CA),D,CA,Yea
Thompson (MS),D,MS,Yea
Thompson (PA),R,PA,Yea
Tiffany,R,WI,Nay
Timmons,R,SC,Yea
Titus,D,NV,Yea
Tlaib,D,MI,Yea
Tokuda,D,HI,Yea
Tonko,D,NY,Yea
Torres (CA),D,CA,Yea
Torres (NY),D,NY,Yea
Trahan,D,MA,Yea
Trone,D,MD,Yea
Turner,R,OH,Yea
Underwood,D,IL,Yea
Valadao,R,CA,Yea
Van Drew,R,NJ,Yea
Van Duyne,R,TX,Nay
Van Orden,R,WI,Yea
Vargas,D,CA,Yea
Vasquez,D,NM,Yea
Veasey,D,TX,Yea
Velázquez,D,NY,Yea
Wagner,R,MO,Yea
Walberg,R,MI,Yea
Waltz,R,FL,Not Voting
Wasserman Schultz,D,FL,Yea
Waters,D,CA,Yea
Watson Coleman,D,NJ,Yea
Weber (TX),R,TX,Yea
Webster (FL),R,FL,Yea
Wenstrup,R,OH,Not Voting
Westerman,R,AR,Yea
Wexton,D,VA,Yea
Wied,R,WI,Yea
Wild,D,PA,Yea
Williams (GA),D,GA,Yea
Williams (NY),R,NY,Yea
Williams (TX),R,TX,Not Voting
Wilson (FL),D,FL,Yea
Wilson (SC),R,SC,Yea
Wittman,R,VA,Yea
Womack,R,AR,Yea
Yakym,R,IN,Yea
Zinke,R,MT,Yea
